track_id,genre_track,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1eNOnwpluYFogJuD0eDp4U,kpop,185400.0,True,0.546,0.709,9.0,-7.932,1.0,0.313,0.133,0.0,0.115,0.501,84.745,4.0
3qejDzWVSeXfxYvYNDMj6Y,kpop,173826.0,False,0.297,0.573,9.0,-7.37,1.0,0.333,0.471,0.0,0.107,0.405,199.732,4.0
3qWkkS1Rogzqs18reNqP6L,kpop,177311.0,False,0.586,0.916,6.0,-6.735,0.0,0.223,0.00857,8.65e-05,0.1,0.264,168.06,4.0
2yqh9BquncVdf7p40SiMwe,kpop,127999.0,True,0.752,0.812,11.0,-3.336,0.0,0.319,0.0394,0.000592,0.112,0.522,120.023,4.0
5Q8sWCOlgygUpLtDdg7NAN,kpop,221996.0,False,0.516,0.94,11.0,-2.683,0.0,0.192,0.0682,0.0,0.144,0.584,96.091,4.0
2TUuP1HLYFyUmvwQcLGKWB,kpop,157686.0,False,0.223,0.459,9.0,-10.639,1.0,0.0441,0.473,0.316,0.0986,0.375,92.8,3.0
6Vy0FrJgtvK145jXRSPec5,kpop,241973.0,False,0.743,0.959,3.0,-7.12,0.0,0.162,0.112,0.0,0.206,0.718,134.99,4.0
4U05jXiYfF87DXcEgMb16Z,kpop,226481.0,False,0.484,0.349,11.0,-14.927,1.0,0.0321,0.527,6.66e-06,0.113,0.342,133.996,4.0
6BjM6xVygJOAkK0XDNxZbo,kpop,203186.0,False,0.711,0.929,2.0,-2.532,1.0,0.0384,0.00147,0.0,0.313,0.736,129.987,4.0
7rWRuFyvRqMlUh8rUTuWqb,kpop,194324.0,False,0.789,0.881,1.0,-4.049,0.0,0.0483,0.0683,0.00071,0.0687,0.894,124.979,4.0
